,HE Provider,Environmental management system existence,Environmental management system external verification coverage,Environmental reporting total,Fairtrade accreditation existence,Single occupancy car journey (%),Car share (%),Bus (%),Train (%),Cycle (%),Walk (%),Motorbike (%),Other (%),Single occupancy car journey (%) ,Car share (%) ,Bus (%) ,Train (%) ,Cycle (%) ,Walk (%) ,Motorbike (%) ,Other (%) ,Total carbon reduction target (%),Total percentage of renewable energy purchased through green tariffs (%),Total energy generated onsite by CHP (kWh),Total renewable energy generated onsite or offsite (kWh),where the ROCs are retained or not claimed (%),where the ROCs are sold (%),Total number of car parking spaces,Non-residential ,Residential ,Total number of cycle spaces,Total water supply grey water and rain water (m3),Total water borehole extraction (m3),Borehole water used for irrigation (%),Non-residential category A (m2),Non-residential category B (m2),Non-residential category C (m2),Non-residential category D (m2),Non-residential category E (m2),Non-residential category F (m2),Non-residential category G (m2),Residential category A (m2),Residential category B (m2),Residential category C (m2),Residential category D (m2),Residential category E (m2),Residential category F (m2),Residential category G (m2)
0,Anglia Ruskin University,1.0,1.0,1.0,0.0,19.8,3.7,7.0,16.7,14.3,19.6,1.1,17.8,12.3,3.0,9.6,17.3,9.3,31.5,0.6,16.4,30.0,8.0,3749201.0,84198.431,0.0,0.0,679.0,629.0,50.0,2096.0,0.0,0.0,0.0,0.0,3780.85,46875.17,26965.6,11383.02,11642.29,0.0,0.0,0.0,3434.245,6839.077,0.0,0.0,0.0
1,Aston University,1.0,1.0,1.0,0.0,33.0,1.0,22.0,31.0,7.0,1.0,1.0,4.0,9.0,5.0,46.0,22.0,1.0,17.0,0.0,0.0,43.0,17.0,0.0,41155.1,0.0,0.0,753.0,753.0,0.0,136.0,0.0,0.0,0.0,2513.161,18046.949,85174.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Bath Spa University,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,0.0,60.2,0.0,2403925.0,0.0,0.0,1006.0,1006.0,0.0,340.0,300.0,0.0,0.0,4422.0,10273.0,19211.0,3293.0,1569.0,312.0,0.0,11077.0,15416.0,924.0,1119.0,0.0,0.0,0.0
3,Birkbeck College,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,25.0,100.0,202395.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,1781.0,2982.0,0.0,6968.0,2057.0,21713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Birmingham City University,1.0,1.0,1.0,0.0,36.6,3.5,18.8,24.7,3.6,4.4,0.2,8.2,17.8,5.1,27.8,21.4,1.6,22.1,0.0,4.2,43.0,90.0,615991.0,80322.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,18345.0,36214.0,51999.0,23949.0,0.0,0.0,0.0,19113.0,0.0,0.0,0.0,0.0,0.0
5,Bishop Grosseteste University,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,43.0,49.5,0.0,10279.1,,,368.0,364.0,4.0,102.0,238.0,0.0,0.0,1860.0,2211.4,7313.9,2420.0,1230.0,0.0,0.0,0.0,3912.6,0.0,4226.9,0.0,0.0,0.0
6,Bournemouth University,1.0,1.0,1.0,1.0,53.0,4.0,12.0,6.0,13.0,9.0,2.0,1.0,8.2,1.4,45.2,5.5,12.3,23.3,0.0,4.1,50.0,100.0,0.0,1933392.0,0.0,0.0,1386.0,1379.0,7.0,888.0,720.0,0.0,0.0,0.0,20933.67,60573.95,4740.27,0.0,0.0,0.0,0.0,6411.0,0.0,0.0,0.0,0.0,0.0
7,Brunel University London,1.0,1.0,1.0,0.0,60.0,4.0,6.0,14.0,6.0,8.0,2.0,0.0,16.0,5.0,8.0,30.0,10.0,30.0,1.0,0.0,43.0,9.2,0.0,4716500.0,0.0,0.0,1968.0,1968.0,0.0,787.0,950.0,0.0,0.0,0.0,7942.0,18670.86,39476.0,26078.5,8725.0,14316.0,0.0,37890.78,75550.81,330.0,130.0,0.0,0.0
8,Buckinghamshire New University,1.0,1.0,1.0,0.0,60.0,9.0,14.0,9.0,2.0,5.0,1.0,,75.0,,,,,12.0,,,50.0,,0.0,126881.0,0.0,0.0,545.0,527.0,18.0,378.0,0.0,0.0,0.0,0.0,0.0,16135.0,31910.83,0.0,0.0,1489.56,0.0,0.0,18088.75,2352.66,0.0,0.0,0.0
9,Canterbury Christ Church University,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,25.0,0.5,0.0,,0.1,0.0,383.0,320.0,63.0,847.0,0.0,0.0,0.0,0.0,2907.56,48200.7,5520.79,0.0,0.0,571.21,0.0,17534.86,250.02,6890.98,1600.41,0.0,0.0
